
2024/12/24 (16:01:54) | ===> btop++ v.1.4.0
2024/12/24 (16:01:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/24 (16:01:58) | ===> btop++ v.1.4.0
2024/12/24 (16:01:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/24 (16:03:41) | ===> btop++ v.1.4.0
2024/12/24 (16:03:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/24 (16:04:22) | ===> btop++ v.1.4.0
2024/12/24 (16:04:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/24 (16:05:35) | ===> btop++ v.1.4.0
2024/12/24 (16:05:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/24 (16:31:29) | ===> btop++ v.1.4.0
2024/12/24 (16:31:29) | WARNING: Failed to set locale UTF-8 continuing anyway.
